,detector,text_id,score,Prompt Experiment
255,GPT2Detector,prt_explreg_p_3,0.0002244114875793,Regen internet prompt
256,GPT2Detector,prt_explreg_p_6,0.0002081990242004,Regen internet prompt
257,GPT2Detector,prt_explreg_p_7,0.9886300563812256,Regen internet prompt
258,GPT2Detector,prt_explreg_p_8,0.0001797080039978,Regen internet prompt
259,GPT2Detector,prt_expl_p_1,0.9998258948326112,Internet prompt
260,GPT2Detector,prt_expl_p_11,0.9997852444648744,Internet prompt
261,GPT2Detector,prt_explreg_p_9,0.0010887384414672,Regen internet prompt
262,GPT2Detector,prt_expl_p_0,0.9998195767402648,Internet prompt
263,GPT2Detector,prt_expl_p_10,0.9998002648353576,Internet prompt
264,GPT2Detector,prt_expl_p_12,0.9998109936714172,Internet prompt
265,GPT2Detector,prt_expl_p_13,0.9997181296348572,Internet prompt
266,GPT2Detector,prt_expl_p_18,0.9374815225601196,Internet prompt
267,GPT2Detector,prt_expl_p_14,0.9998188614845276,Internet prompt
268,GPT2Detector,prt_expl_p_15,0.99978107213974,Internet prompt
269,GPT2Detector,prt_expl_p_16,0.99695086479187,Internet prompt
270,GPT2Detector,prt_expl_p_17,0.9995341300964355,Internet prompt
271,GPT2Detector,prt_expl_p_19,0.544405460357666,Internet prompt
272,GPT2Detector,prt_expl_p_2,0.9986085295677184,Internet prompt
273,GPT2Detector,prt_expl_p_3,0.9996216297149658,Internet prompt
274,GPT2Detector,prt_expl_p_6,0.9996864795684814,Internet prompt
275,GPT2Detector,prt_expl_p_4,0.9998244643211364,Internet prompt
276,GPT2Detector,prt_expl_p_5,0.9997910857200624,Internet prompt
277,GPT2Detector,prt_expl_p_7,0.9998252987861632,Internet prompt
278,GPT2Detector,prt_expl_p_8,0.9998257756233216,Internet prompt
279,GPT2Detector,prt_perplreg_p_0,0.9407675862312316,Regen perplexity prompt
280,GPT2Detector,prt_expl_p_9,0.9998127818107604,Internet prompt
281,GPT2Detector,prt_perplreg_p_1,0.0003149509429931,Regen perplexity prompt
282,GPT2Detector,prt_perplreg_p_12,0.0004158616065979,Regen perplexity prompt
283,GPT2Detector,prt_perplreg_p_10,0.000254213809967,Regen perplexity prompt
284,GPT2Detector,prt_perplreg_p_11,0.0003345012664794,Regen perplexity prompt
285,GPT2Detector,prt_perplreg_p_13,0.0004443526268005,Regen perplexity prompt
286,GPT2Detector,prt_perplreg_p_17,0.0002179741859436,Regen perplexity prompt
287,GPT2Detector,prt_perplreg_p_2,0.0002763867378234,Regen perplexity prompt
288,GPT2Detector,prt_perplreg_p_15,0.0001701116561889,Regen perplexity prompt
289,GPT2Detector,prt_perplreg_p_14,0.0003048181533813,Regen perplexity prompt
290,GPT2Detector,prt_perplreg_p_16,0.0002004504203796,Regen perplexity prompt
291,GPT2Detector,prt_perplreg_p_18,0.0001764893531799,Regen perplexity prompt
292,GPT2Detector,prt_perplreg_p_19,0.0004469752311706,Regen perplexity prompt
293,GPT2Detector,prt_perplreg_p_3,0.0003775358200073,Regen perplexity prompt
294,GPT2Detector,prt_perplreg_p_4,0.9844623804092408,Regen perplexity prompt
295,GPT2Detector,prt_perplreg_p_7,0.0004417300224304,Regen perplexity prompt
296,GPT2Detector,prt_perplreg_p_5,0.0003092288970947,Regen perplexity prompt
297,GPT2Detector,prt_perplreg_p_6,0.000411570072174,Regen perplexity prompt
298,GPT2Detector,prt_perplreg_p_8,0.0003293752670288,Regen perplexity prompt
299,GPT2Detector,prt_perpl_p_0,0.999812662601471,Perplexity prompt
300,GPT2Detector,prt_perplreg_p_9,0.0002679228782653,Regen perplexity prompt
301,GPT2Detector,prt_perpl_p_1,0.9985464215278624,Perplexity prompt
302,GPT2Detector,prt_perpl_p_13,0.312505304813385,Perplexity prompt
303,GPT2Detector,prt_perpl_p_10,0.999789535999298,Perplexity prompt
304,GPT2Detector,prt_perpl_p_11,0.999823033809662,Perplexity prompt
305,GPT2Detector,prt_perpl_p_12,0.938470721244812,Perplexity prompt
306,GPT2Detector,prt_perpl_p_14,0.9998237490653992,Perplexity prompt
307,GPT2Detector,prt_perpl_p_15,0.9997914433479308,Perplexity prompt
308,GPT2Detector,prt_perpl_p_2,0.9925014972686768,Perplexity prompt
309,GPT2Detector,prt_perpl_p_16,0.9998264908790588,Perplexity prompt
310,GPT2Detector,prt_perpl_p_17,0.9998144507408142,Perplexity prompt
311,GPT2Detector,prt_perpl_p_18,0.999806821346283,Perplexity prompt
312,GPT2Detector,prt_perpl_p_19,0.9523589611053468,Perplexity prompt
313,GPT2Detector,prt_perpl_p_3,0.9997995495796204,Perplexity prompt
314,GPT2Detector,prt_perpl_p_8,0.9998227953910828,Perplexity prompt
315,GPT2Detector,prt_perpl_p_6,0.9998186230659484,Perplexity prompt
316,GPT2Detector,prt_perpl_p_7,0.999823272228241,Perplexity prompt
317,GPT2Detector,prt_perpl_p_4,0.999785840511322,Perplexity prompt
318,GPT2Detector,prt_perpl_p_5,0.9998216032981871,Perplexity prompt
319,GPT2Detector,prt_smareg_p_12,0.0053356885910034,Regen smart prompt
320,GPT2Detector,prt_perpl_p_9,0.9998261332511902,Perplexity prompt
321,GPT2Detector,prt_smareg_p_0,0.0002487301826477,Regen smart prompt
322,GPT2Detector,prt_smareg_p_10,0.999821126461029,Regen smart prompt
323,GPT2Detector,prt_smareg_p_1,0.1328487396240234,Regen smart prompt
324,GPT2Detector,prt_smareg_p_11,0.0001888871192932,Regen smart prompt
325,GPT2Detector,prt_smareg_p_14,0.0007743835449218,Regen smart prompt
326,GPT2Detector,prt_smareg_p_13,0.0002041459083557,Regen smart prompt
327,GPT2Detector,prt_smareg_p_17,0.0013720989227294,Regen smart prompt
328,GPT2Detector,prt_smareg_p_15,0.3990019559860229,Regen smart prompt
329,GPT2Detector,prt_smareg_p_16,0.0001766085624694,Regen smart prompt
330,GPT2Detector,prt_smareg_p_18,0.0001811385154724,Regen smart prompt
331,GPT2Detector,prt_smareg_p_19,0.0003066062927246,Regen smart prompt
332,GPT2Detector,prt_smareg_p_7,0.0008398294448852,Regen smart prompt
333,GPT2Detector,prt_smareg_p_2,0.0006870031356811,Regen smart prompt
334,GPT2Detector,prt_smareg_p_5,0.9997733235359192,Regen smart prompt
335,GPT2Detector,prt_smareg_p_4,0.0994134545326232,Regen smart prompt
336,GPT2Detector,prt_smareg_p_3,0.0049910545349121,Regen smart prompt
337,GPT2Detector,prt_smareg_p_6,0.1330081820487976,Regen smart prompt
338,GPT2Detector,prt_smareg_p_8,0.0002667307853698,Regen smart prompt
339,GPT2Detector,prt_smareg_p_9,0.0001755356788635,Regen smart prompt
340,GPT2Detector,prt_sma_p_10,0.999784290790558,Smart prompt
341,GPT2Detector,prt_sma_p_0,0.9998231530189514,Smart prompt
342,GPT2Detector,prt_sma_p_1,0.0001748204231262,Smart prompt
343,GPT2Detector,prt_sma_p_11,0.9997991919517516,Smart prompt
344,GPT2Detector,prt_sma_p_12,0.9998227953910828,Smart prompt
345,GPT2Detector,prt_sma_p_15,0.9997954964637756,Smart prompt
346,GPT2Detector,prt_sma_p_13,0.0010919570922851,Smart prompt
347,GPT2Detector,prt_sma_p_14,0.9997829794883728,Smart prompt
348,GPT2Detector,prt_sma_p_18,0.99824857711792,Smart prompt
349,GPT2Detector,prt_sma_p_16,0.99981290102005,Smart prompt
350,GPT2Detector,prt_sma_p_17,0.0002079606056213,Smart prompt
351,GPT2Detector,prt_sma_p_19,0.1719720959663391,Smart prompt
352,GPT2Detector,prt_sma_p_4,0.9998268485069276,Smart prompt
353,GPT2Detector,prt_sma_p_2,0.0069056749343872,Smart prompt
354,GPT2Detector,prt_sma_p_8,0.9920470714569092,Smart prompt
355,GPT2Detector,prt_sma_p_3,0.931014895439148,Smart prompt
356,GPT2Detector,prt_sma_p_5,0.999823033809662,Smart prompt
357,GPT2Detector,prt_sma_p_6,0.0001762509346008,Smart prompt
358,GPT2Detector,prt_sma_p_7,0.9997463822364808,Smart prompt
359,GPT2Detector,prt_sma_p_9,0.9998086094856262,Smart prompt
360,GPT2Detector,prt_stdreg_p_12,0.0002489686012268,Baseline regen
361,GPT2Detector,prt_stdreg_p_0,0.9996862411499025,Baseline regen
362,GPT2Detector,prt_stdreg_p_1,0.0090541839599609,Baseline regen
363,GPT2Detector,prt_stdreg_p_10,0.9995558857917786,Baseline regen
364,GPT2Detector,prt_stdreg_p_11,0.0007486939430236,Baseline regen
365,GPT2Detector,prt_stdreg_p_13,0.0002000927925109,Baseline regen
366,GPT2Detector,prt_stdreg_p_14,0.0066556930541992,Baseline regen
367,GPT2Detector,prt_stdreg_p_18,0.1836083531379699,Baseline regen
368,GPT2Detector,prt_stdreg_p_15,0.0022604465484619,Baseline regen
369,GPT2Detector,prt_stdreg_p_17,0.0102033019065856,Baseline regen
370,GPT2Detector,prt_stdreg_p_3,0.0002288222312927,Baseline regen
371,GPT2Detector,prt_stdreg_p_16,0.0052933096885681,Baseline regen
372,GPT2Detector,prt_stdreg_p_2,0.9492077231407166,Baseline regen
373,GPT2Detector,prt_stdreg_p_19,0.0001755356788635,Baseline regen
374,GPT2Detector,prt_stdreg_p_4,0.9998207688331604,Baseline regen
375,GPT2Detector,prt_stdreg_p_5,0.0001804232597351,Baseline regen
376,GPT2Detector,prt_stdreg_p_6,0.0066426396369934,Baseline regen
377,GPT2Detector,prt_stdreg_p_7,0.9997710585594176,Baseline regen
378,GPT2Detector,prt_stdreg_p_8,0.2661154270172119,Baseline regen
379,GPT2Detector,prt_stdreg_p_9,0.0023302435874938,Baseline regen
380,GPT2Detector,prt_std_p_0,0.999796450138092,Baseline prompt
381,GPT2Detector,prt_std_p_10,0.9997826218605042,Baseline prompt
382,GPT2Detector,prt_std_p_1,0.9991549253463744,Baseline prompt
383,GPT2Detector,prt_std_p_11,0.9998216032981871,Baseline prompt
384,GPT2Detector,prt_std_p_15,0.9998199343681335,Baseline prompt
385,GPT2Detector,prt_std_p_12,0.8149965405464172,Baseline prompt
386,GPT2Detector,prt_std_p_14,0.9998099207878112,Baseline prompt
387,GPT2Detector,prt_std_p_13,0.9914963245391846,Baseline prompt
388,GPT2Detector,prt_std_p_16,0.9997974038124084,Baseline prompt
389,GPT2Detector,prt_std_p_18,0.5323600172996521,Baseline prompt
390,GPT2Detector,prt_std_p_4,0.9998220801353456,Baseline prompt
391,GPT2Detector,prt_std_p_19,0.9998249411582948,Baseline prompt
392,GPT2Detector,prt_std_p_17,0.0001918673515319,Baseline prompt
393,GPT2Detector,prt_std_p_2,0.9997982382774352,Baseline prompt
394,GPT2Detector,prt_std_p_3,0.8501230478286743,Baseline prompt
395,GPT2Detector,prt_std_p_6,0.9998078942298888,Baseline prompt
396,GPT2Detector,prt_std_p_5,0.99970680475235,Baseline prompt
397,GPT2Detector,prt_std_p_7,0.999803364276886,Baseline prompt
398,GPT2Detector,prt_std_p_9,0.9993851184844972,Baseline prompt
399,GPT2Detector,prt_std_p_8,0.9997735619544984,Baseline prompt
400,GPTZero,prt_avreg_p_1,0.9092670190856504,Regen avoid detection
401,GPTZero,prt_avreg_p_14,1.0,Regen avoid detection
402,GPTZero,prt_avreg_p_13,0.915630600561598,Regen avoid detection
403,GPTZero,prt_avreg_p_10,0.9977775103937532,Regen avoid detection
404,GPTZero,prt_avreg_p_0,0.9977558223168834,Regen avoid detection
405,GPTZero,prt_avreg_p_16,0.9826080317224812,Regen avoid detection
406,GPTZero,prt_avreg_p_15,0.9977775103937532,Regen avoid detection
407,GPTZero,prt_avreg_p_11,0.9977558223168834,Regen avoid detection
408,GPTZero,prt_avreg_p_12,0.9122259726882967,Regen avoid detection
409,GPTZero,prt_avreg_p_17,0.982251886615535,Regen avoid detection
410,GPTZero,prt_avreg_p_18,0.9973955738343496,Regen avoid detection
411,GPTZero,prt_avreg_p_2,1.0,Regen avoid detection
412,GPTZero,prt_avreg_p_3,0.982932157729323,Regen avoid detection
413,GPTZero,prt_avreg_p_19,0.9973955738343496,Regen avoid detection
414,GPTZero,prt_avreg_p_5,0.7226982044765106,Regen avoid detection
415,GPTZero,prt_avreg_p_4,0.9825825322814176,Regen avoid detection
416,GPTZero,prt_avreg_p_8,0.7307051003315728,Regen avoid detection
417,GPTZero,prt_avreg_p_7,1.0,Regen avoid detection
418,GPTZero,prt_avreg_p_9,1.0,Regen avoid detection
419,GPTZero,prt_avreg_p_6,0.8234289035940133,Regen avoid detection
420,GPTZero,prt_av_p_0,0.9977558223168834,Avoid detection prompt
421,GPTZero,prt_av_p_10,0.9977775103937532,Avoid detection prompt
422,GPTZero,prt_av_p_1,0.9977558223168834,Avoid detection prompt
423,GPTZero,prt_av_p_17,0.9977558223168834,Avoid detection prompt
424,GPTZero,prt_av_p_13,0.9977558223168834,Avoid detection prompt
425,GPTZero,prt_av_p_11,0.9977558223168834,Avoid detection prompt
426,GPTZero,prt_av_p_14,0.9977558223168834,Avoid detection prompt
427,GPTZero,prt_av_p_16,0.9977558223168834,Avoid detection prompt
428,GPTZero,prt_av_p_12,0.9977558223168834,Avoid detection prompt
429,GPTZero,prt_av_p_15,0.9977558223168834,Avoid detection prompt
430,GPTZero,prt_av_p_18,0.9977558223168834,Avoid detection prompt
431,GPTZero,prt_av_p_2,0.9977775103937532,Avoid detection prompt
432,GPTZero,prt_av_p_19,0.9092670190856504,Avoid detection prompt
433,GPTZero,prt_av_p_6,0.9977558223168834,Avoid detection prompt
434,GPTZero,prt_av_p_3,0.9977558223168834,Avoid detection prompt
435,GPTZero,prt_av_p_5,0.9973955738343496,Avoid detection prompt
436,GPTZero,prt_av_p_4,0.9807071088338744,Avoid detection prompt
437,GPTZero,prt_explreg_p_0,0.9977558223168834,Regen internet prompt
438,GPTZero,prt_av_p_9,0.9977558223168834,Avoid detection prompt
439,GPTZero,prt_av_p_7,1.0,Avoid detection prompt
440,GPTZero,prt_av_p_8,1.0,Avoid detection prompt
441,GPTZero,prt_explreg_p_1,0.9977775103937532,Regen internet prompt
442,GPTZero,prt_explreg_p_10,0.9825825322814176,Regen internet prompt
443,GPTZero,prt_explreg_p_11,0.9977775103937532,Regen internet prompt
444,GPTZero,prt_explreg_p_12,0.9973955738343496,Regen internet prompt
445,GPTZero,prt_explreg_p_13,0.9825825322814176,Regen internet prompt
446,GPTZero,prt_explreg_p_14,0.9977558223168834,Regen internet prompt
447,GPTZero,prt_explreg_p_15,0.9977558223168834,Regen internet prompt
448,GPTZero,prt_explreg_p_19,0.915321344878592,Regen internet prompt
449,GPTZero,prt_explreg_p_16,0.9977558223168834,Regen internet prompt
450,GPTZero,prt_explreg_p_17,0.9973955738343496,Regen internet prompt
451,GPTZero,prt_explreg_p_18,0.982932157729323,Regen internet prompt
452,GPTZero,prt_explreg_p_2,1.0,Regen internet prompt
453,GPTZero,prt_explreg_p_3,1.0,Regen internet prompt
454,GPTZero,prt_explreg_p_4,0.9977558223168834,Regen internet prompt
455,GPTZero,prt_explreg_p_5,0.9825825322814176,Regen internet prompt
456,GPTZero,prt_explreg_p_6,0.8223915592028135,Regen internet prompt
457,GPTZero,prt_explreg_p_7,0.9977775103937532,Regen internet prompt
458,GPTZero,prt_expl_p_0,0.982251886615535,Internet prompt
459,GPTZero,prt_explreg_p_9,0.982932157729323,Regen internet prompt
460,GPTZero,prt_expl_p_11,0.9825825322814176,Internet prompt
461,GPTZero,prt_explreg_p_8,1.0,Regen internet prompt
462,GPTZero,prt_expl_p_1,0.9973955738343496,Internet prompt
463,GPTZero,prt_expl_p_12,0.982251886615535,Internet prompt
464,GPTZero,prt_expl_p_10,0.9977558223168834,Internet prompt
465,GPTZero,prt_expl_p_14,0.9977775103937532,Internet prompt
466,GPTZero,prt_expl_p_13,0.9825825322814176,Internet prompt
467,GPTZero,prt_expl_p_16,0.9977558223168834,Internet prompt
468,GPTZero,prt_expl_p_17,0.9973955738343496,Internet prompt
469,GPTZero,prt_expl_p_2,0.9977558223168834,Internet prompt
470,GPTZero,prt_expl_p_3,0.9977558223168834,Internet prompt
471,GPTZero,prt_expl_p_18,0.9977558223168834,Internet prompt
472,GPTZero,prt_expl_p_15,0.9977775103937532,Internet prompt
473,GPTZero,prt_expl_p_19,0.9977558223168834,Internet prompt
474,GPTZero,prt_expl_p_4,0.9977558223168834,Internet prompt
475,GPTZero,prt_expl_p_5,0.9977558223168834,Internet prompt
476,GPTZero,prt_expl_p_6,0.9977558223168834,Internet prompt
477,GPTZero,prt_expl_p_7,0.982251886615535,Internet prompt
478,GPTZero,prt_expl_p_8,1.0,Internet prompt
479,GPTZero,prt_expl_p_9,0.982932157729323,Internet prompt
480,GPTZero,prt_perplreg_p_0,0.9977558223168834,Regen perplexity prompt
481,GPTZero,prt_perplreg_p_1,0.9106245014028448,Regen perplexity prompt
482,GPTZero,prt_perplreg_p_10,1.0,Regen perplexity prompt
483,GPTZero,prt_perplreg_p_12,0.8293436980152958,Regen perplexity prompt
484,GPTZero,prt_perplreg_p_11,0.9977775103937532,Regen perplexity prompt
485,GPTZero,prt_perplreg_p_14,0.9977558223168834,Regen perplexity prompt
486,GPTZero,prt_perplreg_p_13,0.7236238825849749,Regen perplexity prompt
487,GPTZero,prt_perplreg_p_16,0.9977558223168834,Regen perplexity prompt
488,GPTZero,prt_perplreg_p_15,0.9977558223168834,Regen perplexity prompt
489,GPTZero,prt_perplreg_p_17,0.9977558223168834,Regen perplexity prompt
490,GPTZero,prt_perplreg_p_19,0.9977775103937532,Regen perplexity prompt
491,GPTZero,prt_perplreg_p_2,0.982932157729323,Regen perplexity prompt
492,GPTZero,prt_perplreg_p_18,0.9851100744681244,Regen perplexity prompt
493,GPTZero,prt_perplreg_p_4,0.9977558223168834,Regen perplexity prompt
494,GPTZero,prt_perplreg_p_6,0.8235569534490451,Regen perplexity prompt
495,GPTZero,prt_perplreg_p_5,0.9828449639809316,Regen perplexity prompt
496,GPTZero,prt_perplreg_p_3,0.7236238825849749,Regen perplexity prompt
497,GPTZero,prt_perplreg_p_8,0.9825825322814176,Regen perplexity prompt
498,GPTZero,prt_perplreg_p_9,0.9092670190856504,Regen perplexity prompt
