parameter name,detector,parameter value,category,score
fp,CopyLeaks,0.0,arg,1.0
fp,CopyLeaks,0.0,res,1.0
fp,CopyLeaks,0.1,arg,1.0
fp,CopyLeaks,0.1,res,1.0
fp,CopyLeaks,0.2,arg,1.0
fp,CopyLeaks,0.2,res,1.0
fp,CopyLeaks,0.3,arg,1.0
fp,CopyLeaks,0.3,res,1.0
fp,CopyLeaks,0.4,arg,1.0
fp,CopyLeaks,0.4,res,0.9513761519999999
fp,CopyLeaks,0.5,arg,1.0
fp,CopyLeaks,0.5,res,0.959071732
fp,CopyLeaks,0.6,arg,1.0
fp,CopyLeaks,0.6,res,1.0
fp,CopyLeaks,0.7,arg,1.0
fp,CopyLeaks,0.7,res,1.0
fp,CopyLeaks,0.8,arg,0.962891566
fp,CopyLeaks,0.8,res,1.0
fp,CopyLeaks,0.9,arg,1.0
fp,CopyLeaks,0.9,res,1.0
fp,CopyLeaks,1.0,arg,0.8976950739999999
fp,CopyLeaks,1.0,res,1.0
fp,CopyLeaks,1.1,arg,0.9003544720000001
fp,CopyLeaks,1.1,res,0.9219047659999999
fp,CopyLeaks,1.2,arg,0.8718984080000001
fp,CopyLeaks,1.2,res,0.9307493600000001
fp,CopyLeaks,1.3,arg,0.9313921799999999
fp,CopyLeaks,1.3,res,0.99384616
fp,CopyLeaks,1.4,arg,0.94458438
fp,CopyLeaks,1.4,res,0.8544731600000001
fp,CopyLeaks,1.5,arg,0.868825628
fp,CopyLeaks,1.5,res,0.94018692
fp,CopyLeaks,1.6,arg,0.8063381919999999
fp,CopyLeaks,1.6,res,0.927035832
fp,CopyLeaks,1.7,arg,0.81210946
fp,CopyLeaks,1.7,res,0.9543943
fp,CopyLeaks,1.8,arg,0.8981540280000001
fp,CopyLeaks,1.8,res,0.74470179
fp,CopyLeaks,1.9,arg,0.74179894
fp,CopyLeaks,1.9,res,0.9666666599999999
fp,CopyLeaks,2.0,arg,0.93820598
fp,CopyLeaks,2.0,res,0.87413917
fp,GPT2Detector,0.0,arg,0.9994173407554626
fp,GPT2Detector,0.0,res,0.8013064980506897
fp,GPT2Detector,0.1,arg,0.9048797845840454
fp,GPT2Detector,0.1,res,0.9984497427940369
fp,GPT2Detector,0.2,arg,0.9989809393882751
fp,GPT2Detector,0.2,res,0.8981733202934266
fp,GPT2Detector,0.3,arg,0.4694214701652527
fp,GPT2Detector,0.3,res,0.7948132991790772
fp,GPT2Detector,0.4,arg,0.48543491363525393
fp,GPT2Detector,0.4,res,0.7297545194625854
fp,GPT2Detector,0.5,arg,0.5752203822135925
fp,GPT2Detector,0.5,res,0.7818431735038757
fp,GPT2Detector,0.6,arg,0.49343419075012207
fp,GPT2Detector,0.6,res,0.4207985758781433
fp,GPT2Detector,0.7,arg,0.22715520858764643
fp,GPT2Detector,0.7,res,0.34874716997146604
fp,GPT2Detector,0.8,arg,0.4603241443634033
fp,GPT2Detector,0.8,res,0.40009323358535764
fp,GPT2Detector,0.9,arg,0.1230873107910156
fp,GPT2Detector,0.9,res,0.1974107146263122
fp,GPT2Detector,1.0,arg,0.00027176141738886
fp,GPT2Detector,1.0,res,0.01791868209838864
fp,GPT2Detector,1.1,arg,0.00026963949203484
fp,GPT2Detector,1.1,res,0.00024459362030024003
fp,GPT2Detector,1.2,arg,0.00029764175415034
fp,GPT2Detector,1.2,res,0.0003527164459228
fp,GPT2Detector,1.3,arg,0.00027189254760738
fp,GPT2Detector,1.3,res,0.00028195381164548004
fp,GPT2Detector,1.4,arg,0.00432578325271602
fp,GPT2Detector,1.4,res,0.00040353536605828005
fp,GPT2Detector,1.5,arg,0.00029200315475456
fp,GPT2Detector,1.5,res,0.00025777816772456
fp,GPT2Detector,1.6,arg,0.12492588758468626
fp,GPT2Detector,1.6,res,0.00376721620559688
fp,GPT2Detector,1.7,arg,0.00026233196258538
fp,GPT2Detector,1.7,res,0.00029048919677729997
fp,GPT2Detector,1.8,arg,0.1986010909080505
fp,GPT2Detector,1.8,res,0.00026791095733638
fp,GPT2Detector,1.9,arg,0.0054415225982665395
fp,GPT2Detector,1.9,res,0.00023339986801140003
fp,GPT2Detector,2.0,arg,0.0004409313201904
fp,GPT2Detector,2.0,res,0.00070804357528682
fp,GPTZero,0.0,arg,0.9801897963564361
fp,GPTZero,0.0,res,0.9950318210167304
fp,GPTZero,0.1,arg,0.8636594348784113
fp,GPTZero,0.1,res,0.9445064475320638
fp,GPTZero,0.2,arg,0.8776621251291516
fp,GPTZero,0.2,res,0.9921391377957249
fp,GPTZero,0.3,arg,0.6903373400998964
fp,GPTZero,0.3,res,0.986055748917558
fp,GPTZero,0.4,arg,0.845533680585868
fp,GPTZero,0.4,res,0.9657389107601707
fp,GPTZero,0.5,arg,0.7805338502036109
fp,GPTZero,0.5,res,0.7883645025339489
fp,GPTZero,0.6,arg,0.837115696369826
fp,GPTZero,0.6,res,0.9214851726258624
fp,GPTZero,0.7,arg,0.6953664195632825
fp,GPTZero,0.7,res,0.5775021043371056
fp,GPTZero,0.8,arg,0.6380283042679089
fp,GPTZero,0.8,res,0.6096495503543468
fp,GPTZero,0.9,arg,0.6268850829079137
fp,GPTZero,0.9,res,0.5730774941495864
fp,GPTZero,1.0,arg,0.3804893656008315
fp,GPTZero,1.0,res,0.5586345822286518
fp,GPTZero,1.1,arg,0.30512886187337906
fp,GPTZero,1.1,res,0.46446137616467265
fp,GPTZero,1.2,arg,0.25626225172334766
fp,GPTZero,1.2,res,0.36224312468732817
fp,GPTZero,1.3,arg,0.27343585723835034
fp,GPTZero,1.3,res,0.49061226915772177
fp,GPTZero,1.4,arg,0.4108689379273841
fp,GPTZero,1.4,res,0.26483312936313536
fp,GPTZero,1.5,arg,0.2049454431513659
fp,GPTZero,1.5,res,0.253945422114182
fp,GPTZero,1.6,arg,0.12123291471812636
fp,GPTZero,1.6,res,0.43811333133168856
fp,GPTZero,1.7,arg,0.20668356159121223
fp,GPTZero,1.7,res,0.32465661980240734
fp,GPTZero,1.8,arg,0.1990795197320112
fp,GPTZero,1.8,res,0.1318859005412218
fp,GPTZero,1.9,arg,0.11124083610242415
fp,GPTZero,1.9,res,0.2155784857357034
fp,GPTZero,2.0,arg,0.36309024297406267
fp,GPTZero,2.0,res,0.2441156211293869
fp,Radar,0.0,arg,0.9787729859352112
fp,Radar,0.0,res,0.9366884469985962
fp,Radar,0.1,arg,0.9801986813545227
fp,Radar,0.1,res,0.9519072413444519
fp,Radar,0.2,arg,0.9636482834815979
fp,Radar,0.2,res,0.9307762145996094
fp,Radar,0.3,arg,0.9500564813613892
fp,Radar,0.3,res,0.9158784747123718
fp,Radar,0.4,arg,0.9704895973205566
fp,Radar,0.4,res,0.9169992208480835
fp,Radar,0.5,arg,0.9555486917495728
fp,Radar,0.5,res,0.9166475653648376
fp,Radar,0.6,arg,0.9686934947967529
fp,Radar,0.6,res,0.8484669208526612
fp,Radar,0.7,arg,0.9662647724151612
fp,Radar,0.7,res,0.9439832210540772
fp,Radar,0.8,arg,0.9706465840339661
fp,Radar,0.8,res,0.8886946082115174
fp,Radar,0.9,arg,0.7818563580513
fp,Radar,0.9,res,0.8774073004722596
fp,Radar,1.0,arg,0.8615684270858764
fp,Radar,1.0,res,0.8894299387931823
fp,Radar,1.1,arg,0.7277382493019104
fp,Radar,1.1,res,0.8063555240631104
fp,Radar,1.2,arg,0.7604295969009399
fp,Radar,1.2,res,0.7878199458122254
fp,Radar,1.3,arg,0.6893833935260772
fp,Radar,1.3,res,0.8098655700683594
fp,Radar,1.4,arg,0.8667331218719483
fp,Radar,1.4,res,0.5510761499404907
fp,Radar,1.5,arg,0.560207998752594
fp,Radar,1.5,res,0.38494967222213744
fp,Radar,1.6,arg,0.577082271873951
fp,Radar,1.6,res,0.5876515567302704
fp,Radar,1.7,arg,0.27716793268918993
fp,Radar,1.7,res,0.4109740048646927
fp,Radar,1.8,arg,0.4511067643761635
fp,Radar,1.8,res,0.46449044570326803
fp,Radar,1.9,arg,0.641180942952633
fp,Radar,1.9,res,0.49270287826657294
fp,Radar,2.0,arg,0.3257658511400222
fp,Radar,2.0,res,0.571622571349144
pp,CopyLeaks,0.0,arg,1.0
pp,CopyLeaks,0.0,res,1.0
pp,CopyLeaks,0.1,arg,1.0
pp,CopyLeaks,0.1,res,1.0
pp,CopyLeaks,0.2,arg,1.0
pp,CopyLeaks,0.2,res,1.0
pp,CopyLeaks,0.3,arg,1.0
pp,CopyLeaks,0.3,res,1.0
pp,CopyLeaks,0.4,arg,1.0
pp,CopyLeaks,0.4,res,1.0
pp,CopyLeaks,0.5,arg,1.0
pp,CopyLeaks,0.5,res,1.0
pp,CopyLeaks,0.6,arg,1.0
pp,CopyLeaks,0.6,res,1.0
pp,CopyLeaks,0.7,arg,1.0
pp,CopyLeaks,0.7,res,1.0
pp,CopyLeaks,0.8,arg,1.0
pp,CopyLeaks,0.8,res,1.0
pp,CopyLeaks,0.9,arg,1.0
pp,CopyLeaks,0.9,res,1.0
pp,CopyLeaks,1.0,arg,1.0
pp,CopyLeaks,1.0,res,1.0
pp,CopyLeaks,1.1,arg,1.0
pp,CopyLeaks,1.1,res,1.0
pp,CopyLeaks,1.2,arg,1.0
pp,CopyLeaks,1.2,res,1.0
pp,CopyLeaks,1.3,arg,1.0
pp,CopyLeaks,1.3,res,1.0
pp,CopyLeaks,1.4,arg,1.0
pp,CopyLeaks,1.4,res,1.0
pp,CopyLeaks,1.5,arg,1.0
pp,CopyLeaks,1.5,res,1.0
pp,CopyLeaks,1.6,arg,1.0
pp,CopyLeaks,1.6,res,1.0
pp,CopyLeaks,1.7,arg,1.0
pp,CopyLeaks,1.7,res,1.0
pp,CopyLeaks,1.8,arg,1.0
pp,CopyLeaks,1.8,res,1.0
pp,CopyLeaks,1.9,arg,1.0
pp,CopyLeaks,1.9,res,1.0
pp,CopyLeaks,2.0,arg,1.0
pp,CopyLeaks,2.0,res,1.0
pp,GPT2Detector,0.0,arg,0.9997441411018372
pp,GPT2Detector,0.0,res,0.9878436088562011
pp,GPT2Detector,0.1,arg,0.9997867226600647
pp,GPT2Detector,0.1,res,0.9730857372283935
pp,GPT2Detector,0.2,arg,0.9992733597755432
pp,GPT2Detector,0.2,res,0.9990788221359252
pp,GPT2Detector,0.3,arg,0.7869841575622558
pp,GPT2Detector,0.3,res,0.9114140033721924
pp,GPT2Detector,0.4,arg,0.999715256690979
pp,GPT2Detector,0.4,res,0.9993754982948303
pp,GPT2Detector,0.5,arg,0.8735014438629151
pp,GPT2Detector,0.5,res,0.80264333486557
pp,GPT2Detector,0.6,arg,0.9793491125106811
pp,GPT2Detector,0.6,res,0.9801891922950745
pp,GPT2Detector,0.7,arg,0.9996643543243409
pp,GPT2Detector,0.7,res,0.985565185546875
pp,GPT2Detector,0.8,arg,0.9929478287696838
pp,GPT2Detector,0.8,res,0.9947351813316345
pp,GPT2Detector,0.9,arg,0.7992958545684814
pp,GPT2Detector,0.9,res,0.859173595905304
pp,GPT2Detector,1.0,arg,0.6025671362876892
pp,GPT2Detector,1.0,res,0.5847899913787841
pp,GPT2Detector,1.1,arg,0.8758864164352417
pp,GPT2Detector,1.1,res,0.8195897340774536
pp,GPT2Detector,1.2,arg,0.7862946152687073
pp,GPT2Detector,1.2,res,0.6254203200340271
pp,GPT2Detector,1.3,arg,0.988034462928772
pp,GPT2Detector,1.3,res,0.9778274536132813
pp,GPT2Detector,1.4,arg,0.9580442070960998
pp,GPT2Detector,1.4,res,0.7210997939109802
pp,GPT2Detector,1.5,arg,0.5568794012069702
pp,GPT2Detector,1.5,res,0.6956767559051513
pp,GPT2Detector,1.6,arg,0.7982882142066956
pp,GPT2Detector,1.6,res,0.7955704092979431
pp,GPT2Detector,1.7,arg,0.9780003666877747
pp,GPT2Detector,1.7,res,0.7965901255607605
pp,GPT2Detector,1.8,arg,0.6575741410255432
pp,GPT2Detector,1.8,res,0.8079190850257874
pp,GPT2Detector,1.9,arg,0.760323452949524
pp,GPT2Detector,1.9,res,0.6794223546981811
pp,GPT2Detector,2.0,arg,0.8307220816612244
pp,GPT2Detector,2.0,res,0.6961455583572388
pp,GPTZero,0.0,arg,0.9976160605392439
pp,GPTZero,0.0,res,0.9479432245037274
pp,GPTZero,0.1,arg,0.9486204112351333
pp,GPTZero,0.1,res,0.9595865201691737
pp,GPTZero,0.2,arg,0.9464789850505777
pp,GPTZero,0.2,res,0.921596854017792
pp,GPTZero,0.3,arg,0.9139355339843037
pp,GPTZero,0.3,res,0.9811968771327184
pp,GPTZero,0.4,arg,0.9166094389594924
pp,GPTZero,0.4,res,0.9890440596073347
pp,GPTZero,0.5,arg,0.9282316244052563
pp,GPTZero,0.5,res,0.9952399249359946
pp,GPTZero,0.6,arg,0.9434412254701637
pp,GPTZero,0.6,res,0.972259186917906
pp,GPTZero,0.7,arg,0.9460945416367522
pp,GPTZero,0.7,res,0.9606064332654665
pp,GPTZero,0.8,arg,0.9915723885019689
pp,GPTZero,0.8,res,0.8732481530049421
pp,GPTZero,0.9,arg,0.9620724063716036
pp,GPTZero,0.9,res,0.9769607914706235
pp,GPTZero,1.0,arg,0.9061774414699523
pp,GPTZero,1.0,res,0.9534567107296485
pp,GPTZero,1.1,arg,0.9244195337434682
pp,GPTZero,1.1,res,0.9947211643097903
pp,GPTZero,1.2,arg,0.9598366781480816
pp,GPTZero,1.2,res,0.9526072549215755
pp,GPTZero,1.3,arg,0.9506071272621636
pp,GPTZero,1.3,res,0.9873012396338696
pp,GPTZero,1.4,arg,0.9213865495077782
pp,GPTZero,1.4,res,0.963364884079939
pp,GPTZero,1.5,arg,0.9435463461334885
pp,GPTZero,1.5,res,0.9689024245281708
pp,GPTZero,1.6,arg,0.9470314960494501
pp,GPTZero,1.6,res,0.9887196487782592
pp,GPTZero,1.7,arg,0.8884999960586561
pp,GPTZero,1.7,res,0.9524499033396989
pp,GPTZero,1.8,arg,0.890125084318053
pp,GPTZero,1.8,res,0.943430538250168
pp,GPTZero,1.9,arg,0.8513439908836767
pp,GPTZero,1.9,res,0.9275589448650152
pp,GPTZero,2.0,arg,0.933664350135999
pp,GPTZero,2.0,res,0.9955446610796045
pp,Radar,0.0,arg,0.9760769724845886
pp,Radar,0.0,res,0.9788159132003784
pp,Radar,0.1,arg,0.9772326827049256
pp,Radar,0.1,res,0.9774334311485291
pp,Radar,0.2,arg,0.9880494713783264
pp,Radar,0.2,res,0.9677098631858826
pp,Radar,0.3,arg,0.9771290063858032
pp,Radar,0.3,res,0.9474691867828369
pp,Radar,0.4,arg,0.9783385396003723
pp,Radar,0.4,res,0.9528745651245117
pp,Radar,0.5,arg,0.9730693936347962
pp,Radar,0.5,res,0.9726869702339173
pp,Radar,0.6,arg,0.9710368871688843
pp,Radar,0.6,res,0.9518786311149597
pp,Radar,0.7,arg,0.9852319359779356
pp,Radar,0.7,res,0.9528986215591431
pp,Radar,0.8,arg,0.9797276139259339
pp,Radar,0.8,res,0.9781324148178101
pp,Radar,0.9,arg,0.9767016887664794
pp,Radar,0.9,res,0.9369635701179504
pp,Radar,1.0,arg,0.9593140363693238
pp,Radar,1.0,res,0.901246190071106
pp,Radar,1.1,arg,0.9738467693328857
pp,Radar,1.1,res,0.9173240303993225
pp,Radar,1.2,arg,0.9717771410942078
pp,Radar,1.2,res,0.9403651237487793
pp,Radar,1.3,arg,0.9776745438575745
pp,Radar,1.3,res,0.9512744545936584
pp,Radar,1.4,arg,0.9587901949882507
pp,Radar,1.4,res,0.8838523983955383
pp,Radar,1.5,arg,0.9364692211151123
pp,Radar,1.5,res,0.9493427038192749
pp,Radar,1.6,arg,0.9780465245246888
pp,Radar,1.6,res,0.9421745300292969
pp,Radar,1.7,arg,0.9645673871040344
pp,Radar,1.7,res,0.9305797696113587
pp,Radar,1.8,arg,0.9636553764343262
pp,Radar,1.8,res,0.9566915392875671
pp,Radar,1.9,arg,0.9788605332374573
pp,Radar,1.9,res,0.9175283789634705
pp,Radar,2.0,arg,0.9646958112716675
pp,Radar,2.0,res,0.9533344149589539
